Coin,Position,Mouse Coordinates,Price,Liquidation Data,Timestamp
BTC,左上角,"x=1250, y=642",87984,"[{""itemTitle"":""Cumulative Long Liquidation Leverage"",""itemValue"":""2.12B""},{""itemTitle"":""Binance"",""itemValue"":""2.27M""},{""itemTitle"":""OKX"",""itemValue"":""1.44M""},{""itemTitle"":""Bybit"",""itemValue"":""483.47K""}]",2024-12-02T04:54:30.148Z
BTC,右上角,"x=1806, y=642",107707,"[{""itemTitle"":""Cumulative Short Liquidation Leverage"",""itemValue"":""2.34B""},{""itemTitle"":""Binance"",""itemValue"":""416.06K""},{""itemTitle"":""OKX"",""itemValue"":""66.07K""},{""itemTitle"":""Bybit"",""itemValue"":""676.32K""}]",2024-12-02T04:54:30.152Z
ETH,左上角,"x=1250, y=642",3354.4,"[{""itemTitle"":""Cumulative Long Liquidation Leverage"",""itemValue"":""1.03B""},{""itemTitle"":""Binance"",""itemValue"":""1.43M""},{""itemTitle"":""OKX"",""itemValue"":""1.13M""},{""itemTitle"":""Bybit"",""itemValue"":""757.41K""}]",2024-12-02T04:54:30.152Z
ETH,右上角,"x=1806, y=642",4137.4,"[{""itemTitle"":""Cumulative Short Liquidation Leverage"",""itemValue"":""1.28B""},{""itemTitle"":""Binance"",""itemValue"":""519.23K""},{""itemTitle"":""OKX"",""itemValue"":""42.12K""},{""itemTitle"":""Bybit"",""itemValue"":""523.34K""}]",2024-12-02T04:54:30.152Z
BNB,左上角,"x=1250, y=642",596.5,"[{""itemTitle"":""Cumulative Long Liquidation Leverage"",""itemValue"":""35.60M""},{""itemTitle"":""Binance"",""itemValue"":""169.59K""},{""itemTitle"":""OKX"",""itemValue"":""24.65K""},{""itemTitle"":""Bybit"",""itemValue"":""117.13K""}]",2024-12-02T04:54:30.152Z
BNB,右上角,"x=1806, y=642",731.7,"[{""itemTitle"":""Cumulative Short Liquidation Leverage"",""itemValue"":""42.71M""},{""itemTitle"":""Binance"",""itemValue"":""75.96K""},{""itemTitle"":""Bybit"",""itemValue"":""84.31K""}]",2024-12-02T04:54:30.153Z
XRP,左上角,"x=1250, y=642",2.176,"[{""itemTitle"":""Cumulative Long Liquidation Leverage"",""itemValue"":""192.45M""},{""itemTitle"":""Binance"",""itemValue"":""586.11K""},{""itemTitle"":""OKX"",""itemValue"":""37.28K""},{""itemTitle"":""Bybit"",""itemValue"":""1.22M""}]",2024-12-02T04:54:30.153Z
XRP,右上角,"x=1806, y=642",2.737,"[{""itemTitle"":""Cumulative Short Liquidation Leverage"",""itemValue"":""170.19M""},{""itemTitle"":""OKX"",""itemValue"":""190.50K""}]",2024-12-02T04:54:30.153Z
SOL,左上角,"x=1250, y=642",211,"[{""itemTitle"":""Cumulative Long Liquidation Leverage"",""itemValue"":""100.70M""},{""itemTitle"":""Binance"",""itemValue"":""221.60K""},{""itemTitle"":""OKX"",""itemValue"":""118.61K""},{""itemTitle"":""Bybit"",""itemValue"":""278.58K""}]",2024-12-02T04:54:30.153Z
SOL,右上角,"x=1806, y=642",259.2,"[{""itemTitle"":""Cumulative Short Liquidation Leverage"",""itemValue"":""348.94M""},{""itemTitle"":""Binance"",""itemValue"":""258.88K""},{""itemTitle"":""OKX"",""itemValue"":""157.03K""},{""itemTitle"":""Bybit"",""itemValue"":""173.72K""}]",2024-12-02T04:54:30.153Z
